Type,Galaxy,S/N,Age_LW (Gyr),unc(Age),[Fe/H] (dex),unc([Fe/H]),[Z/H] (dex),unc([Z/H]),[a/Fe] (dex),unc([a/Fe]),t50 (Gyr),t90 (Gyr),Δt50 (Gyr),Δt90 (Gyr),M* (M⊙)
UDG,Yagi093,23,7.9,1.8,-1.48,0.82,-0.56,0.16,0.64,0.25,10.8,4.1,3.2,6.7,3.1E+08 
UDG,Yagi098,19,6.7,2.6,,,-0.72,0.18,,,11.2,3.5,2.8,7.7,1.1E+08 
UDG,Yagi275,25,4.6,2.6,-0.06,0.51,-0.37,0.19,-0.42,0.65,9.3,2.2,4.7,7.1,9.4E+07 
UDG,Yagi276,18,4.2,2.3,,,-0.38,0.71,,,9.1,2.0,4.9,7.1,1.4E+08 
UDG,Yagi392,15,7.4,2.1,,,-0.58,0.28,,,9.7,4.1,4.3,5.6,9.1E+07 
UDG,Yagi398,21,8.3,3.1,-0.48,0.87,-0.92,0.38,0.06,0.68,11.2,5.2,2.8,6.0,3.6E+07 
UDG,Yagi418,18,7.9,2.0,-1.48,0.96,-1.10,0.95,0.27,0.53,10.0,4.4,4.0,5.6,1.1E+08 
LLG,J125944+274607,18,8.7,4.0,-0.90,0.97,-1.01,0.10,-0.06,0.40,11.0,8.3,3.0,2.7,2.1E+08 
LLG,J125942+274658,15,6.0,2.0,,,-1.38,0.50,,,,,,,1.7E+08 
LLG,J125948+274547,15,7.6,2.0,,,-0.89,0.50,,,10.0,1.3,4.0,8.7,5.1E+07 
LLG,J125939+274557,18,10.7,1.1,,,-1.26,0.18,,,9.3,7.1,4.7,2.2,2.4E+08 
HLG,GMP2749,30,6.8,2.7,-0.76,0.49,-0.87,0.09,0.08,0.85,8.3,7.4,5.7,0.9,2.6E+08 
HLG,GMP3519,25,7.9,1.0,-0.86,0.16,-0.89,0.15,-0.14,0.17,7.5,3.9,6.5,3.6,6.5E+08 
HLG,GMP2800,40,9.76,0.5,-0.34,0.21,-0.34,0.20,-0.14,0.43,4.7,4.0,9.3,0.7,1.0E+10 
HLG,GMP2923,38,6.72,1.3,-0.45,0.38,-0.45,0.27,-0.06,0.70,10.0,1.2,4.0,8.8,9.8E+08 
HLG,GMP2945,40,9.25,4.0,-0.27,0.30,-0.27,0.28,0.08,0.35,13.0,12.0,1.0,1.0,1.9E+10 
HLG,GMP3071,50,8.65,0.3,-0.63,0.24,-0.63,0.44,0.47,0.43,13.0,1.4,1.0,11.6,3.7E+09 
HLG,GMP3298,55,9.45,2.4,-0.33,0.12,-0.33,0.11,0.19,0.14,11.0,3.5,3.0,7.5,5.0E+09 
HLG,GMP3493,53,9.40,2.4,-0.27,0.33,-0.27,0.22,0.27,0.39,4.7,4.0,9.3,0.7,4.0E+09
